model,prompt,n_available,n_dropped_parse_failed,distinct_answers,runs_for_0.95_agreement,runs_for_95pct_answer_discovery,final_f1_vs_gt,validity_ceiling_gap,decision_size_at_full
claude-haiku-4-5-20251001,v3,100,0,1,1,1,1.0,0.0,29.0
glm-5p2 (nores),v3,100,0,1,1,1,1.0,0.0,29.0
kimi-k3 (nores),v3,100,0,2,1,90,1.0,0.0,29.0
qwen3p7-plus,v3,100,0,23,7,100,0.9831,0.0169,30.0
gemini-3.5-flash,v3,100,0,1,1,1,1.0,0.0,29.0
gemini-3.6-flash,v3,100,0,1,1,1,1.0,0.0,29.0
gpt-4.1,v3,100,0,1,1,1,1.0,0.0,29.0
gpt-4.1-mini,v3,100,0,1,1,1,1.0,0.0,29.0
gpt-4o,v3,100,0,5,20,90,1.0,0.0,29.0
