model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
claude-haiku-4-5-20251001,v3,1,200,0.9098,0.0502,0.9124,0.0284,14.23,0.0625,0.9204,0.0537
claude-haiku-4-5-20251001,v3,2,200,0.9009,0.049,0.9228,0.0283,15.115,0.1178,0.918,0.0417
claude-haiku-4-5-20251001,v3,3,200,0.933,0.0462,0.9204,0.0278,14.22,0.1663,0.924,0.0321
claude-haiku-4-5-20251001,v3,5,200,0.9386,0.0454,0.9197,0.0275,14.12,0.2469,0.9179,0.0274
claude-haiku-4-5-20251001,v3,7,200,0.9475,0.0448,0.9202,0.0253,14.055,0.3066,0.9196,0.0226
claude-haiku-4-5-20251001,v3,10,200,0.9534,0.0449,0.9272,0.0247,14.255,0.3916,0.9181,0.018
claude-haiku-4-5-20251001,v3,15,200,0.9653,0.0414,0.9235,0.0233,13.935,0.4844,0.9198,0.0136
claude-haiku-4-5-20251001,v3,20,200,0.9682,0.0412,0.9278,0.022,14.11,0.5531,0.9192,0.0119
claude-haiku-4-5-20251001,v3,25,200,0.9764,0.0362,0.9226,0.02,13.89,0.5891,0.9186,0.0105
claude-haiku-4-5-20251001,v3,30,200,0.9838,0.0301,0.9278,0.0181,14.005,0.6406,0.9186,0.0093
claude-haiku-4-5-20251001,v3,40,200,0.9882,0.0261,0.928,0.0159,13.99,0.7044,0.9199,0.0076
claude-haiku-4-5-20251001,v3,50,200,0.9923,0.023,0.9261,0.0122,13.94,0.7703,0.9189,0.0059
claude-haiku-4-5-20251001,v3,60,200,0.9965,0.0153,0.9277,0.0087,13.98,0.8244,0.9197,0.0054
claude-haiku-4-5-20251001,v3,70,200,0.9993,0.0069,0.9286,0.0038,14.0,0.8784,0.9191,0.0034
claude-haiku-4-5-20251001,v3,80,200,1.0,0.0,0.9286,0.0,14.0,0.9181,0.9191,0.003
claude-haiku-4-5-20251001,v3,90,200,1.0,0.0,0.9286,0.0,14.0,0.96,0.9193,0.0021
claude-haiku-4-5-20251001,v3,100,1,1.0,0.0,0.9286,0.0,14.0,1.0,0.9193,0.0
