prompt,provider,model,n_runs,ground_truth,n_distinct_patterns,top_pattern_share,n_templates,effective_n_modes,template_entropy_nats,residual_flip_noise,single_template,runs_to_discover_95pct,modal_weight,modal_ci_lo,modal_ci_hi,modal_size,second_weight,second_size,block_size,block_mean_rate,size_std_observed,size_std_independent,size_std_ratio,P_all_block_observed,P_all_block_independent,modal_precision,modal_recall,modal_f1,core_size,core_precision,core_recall,core_f1,envelope_size,envelope_precision,envelope_recall,envelope_f1,voter_size,voter_precision,voter_recall,voter_f1
v3,fireworks,qwen3p7-plus,100,"200-201, 214, 224-229, 236, 239, 250-252",69,0.1,27,15.5,2.741,1.02,False,120,0.19,0.12,0.28,6,0.15,13,33,0.305,3.61,1.9,1.9,0.0,0.0,0.833,0.357,0.5,2,1.0,0.143,0.25,35,0.4,1.0,0.571,16,0.875,1.0,0.933
v3,openai,gpt-4o,100,"200-201, 214, 224-229, 236, 239, 250-252",91,0.03,33,14.39,2.666,1.29,False,158,0.23,0.15,0.32,11,0.22,9,31,0.255,2.74,1.72,1.593,0.0,0.0,0.818,0.643,0.72,2,1.0,0.143,0.25,33,0.394,0.929,0.553,13,0.692,0.643,0.667
v3,openai,gpt-4.1-mini,100,"200-201, 214, 224-229, 236, 239, 250-252",28,0.17,6,2.7,0.994,1.17,False,16,0.65,0.56,0.74,6,0.2,6,8,0.424,1.29,1.34,0.9627,0.0,0.001,1.0,0.429,0.6,3,1.0,0.214,0.353,11,0.727,0.571,0.64,12,0.667,0.571,0.615
v3,fireworks,kimi-k3 (nores),100,"200-201, 214, 224-229, 236, 239, 250-252",45,0.2,7,2.6,0.956,1.37,False,27,0.69,0.6,0.78,15,0.21,11,7,0.676,5.15,1.49,3.4564,0.11,0.0643,0.933,1.0,0.966,9,1.0,0.643,0.783,16,0.875,1.0,0.933,16,0.875,1.0,0.933
v3,fireworks,glm-5p2 (nores),100,"200-201, 214, 224-229, 236, 239, 250-252",38,0.13,4,2.29,0.831,1.4,False,16,0.72,0.64,0.81,13,0.19,11,4,0.53,1.57,1.16,1.3534,0.01,0.0789,0.923,0.857,0.889,10,1.0,0.714,0.833,14,0.857,0.857,0.857,14,0.929,0.929,0.929
v3,gemini,gemini-3.6-flash,100,"200-201, 214, 224-229, 236, 239, 250-252",10,0.29,3,1.85,0.616,0.73,False,11,0.79,0.71,0.87,15,0.17,18,3,0.203,1.17,0.86,1.3605,0.02,0.0084,0.933,1.0,0.966,15,0.933,1.0,0.966,18,0.778,1.0,0.875,15,0.933,1.0,0.966
v3,gemini,gemini-3.5-flash,100,"200-201, 214, 224-229, 236, 239, 250-252",10,0.41,2,1.18,0.168,0.74,False,2,0.96,0.92,0.99,18,0.04,14,0,0.0,0.87,0.76,1.1447,1.0,1.0,0.778,1.0,0.875,18,0.778,1.0,0.875,18,0.778,1.0,0.875,15,0.933,1.0,0.966
v3,anthropic,claude-haiku-4-5-20251001,100,"200-201, 214, 224-229, 236, 239, 250-252",16,0.22,2,1.1,0.098,1.27,False,1,0.98,0.95,1.0,14,0.02,16,0,0.0,1.16,0.94,1.234,1.0,1.0,0.929,0.929,0.929,14,0.929,0.929,0.929,14,0.929,0.929,0.929,15,0.933,1.0,0.966
v3,openai,gpt-4.1,100,"200-201, 214, 224-229, 236, 239, 250-252",2,0.59,1,1.0,-0.0,0.41,True,1,1.0,1.0,1.0,12,0.0,0,0,0.0,0.49,0.49,1.0,1.0,1.0,1.0,0.857,0.923,12,1.0,0.857,0.923,12,1.0,0.857,0.923,13,1.0,0.929,0.963
